Mqs Hastings (2),2
Ld Wellington,2
Southwith,2
Guildford,2
Grenada 3,2
Roslin Castle 2,2
City of Edinbro,2
Marqs Hastings 3,1
Planter,1
Hoogley 2,1
Roy Charlotte,1
York,1
Mqs Huntly,1
Brothers (2),1
Cap Cook 1,1
Fortune 2nd,1
Native,1
St Michael,1
Sir God Webster 2,1
Ly Castlereagh,1
Minstrel (2),1
Mqs Huntley (1),1
Columbia,1
Lady Harwood 2,1
Brig Greyhound 1819,1
Pss Charlotte,1
Mary 5,1
Ld Meville,1
Southworth 1,1
Volunteer,1
Coromandel 1,1
Albion Came free,1
City of Edinburgh 2,1
Morley (4),1
Ann 2,1
Minstrel,1
Canada 1,1
Georgiana,1
R. Castle 2,1
Mqs of Huntley,1
Bus Mercht 2,1
Lord Meville 1,1
H M Glatton,1
Parmelia (1),1
Earl St Vincent 3,1
Friendship 3,1
Guilford 5,1
Mqs Hunltey 1,1
Dunvegan Castle,1
Mary 4,1
P. Regent (4),1
Competitor 1823,1
Perseus,1
Css Harcourt (5),1
Somesetshire,1
Mqs of Huntly 1,1
Albion1,1
Brothers 1,1
Lloyd came fee,1
Connada,1
Ann (1),1
Lucy Davidson,1
Css Harcourt (3),1
Mineva 5,1
M. Huntly 1,1
Fortune,1
Sir G Webster,1
Ld Meville 4,1
Mq Hastings,1
Lord Lynedock,1
Royal Charlotte,1
Gov. Ready,1
R. Castle 1,1
Prins Royal,1
Burrell 2,1
Prin. Royal,1
Clyde,1
Columbia Came free,1
Pcess Charlotte,1
Indefatigable (2),1
Brother 2,1
Mq Cornwallis,1
John (1),1
Denmark hill ,1
Thames,1
Css of Harcourt 2,1
Canada 3,1
Surrey 1,1
Co Harcourt 3,1
Numa,1
Prince Regent 3,1
Css Harcourt 1,1
Coss Harcourt 4,1
Research,1
Mary Came free,1
P. Orange,1
Ld Meville 3,1
Fanny,1
Waterloo (1),1
Ms Huntley,1
Juliana,1
Mqs of Huntly,1
Minstrell 2,1
Waterloo 3,1
Co. Harcourt 2,1
Ld Feversham,1
Co. Harcourt 3,1
Casl Forbes 2,1
El Liverpool,1
Portland 1,1
El St Vincent (2),1
Marq Hastings,1
Mqs Lansdowne,1
Cs Harcourt (3),1
Midas 1 Came Free,1
Midas 1,1
Nile,1
Jno Barry 2 arrived in 1821,1
Mqs of Huntley 1,1
Soldier 57 Regiment,1
C. F. Matilda ,1
Mary Anne,1
Genl Hewitt,1
Lucy Davison,1
M Huntly 3,1
Southwark,1
Hadlow1,1
Bussorah Mercht 2,1
Anne 2,1
arrived as a Soldier in the 4th Regiment,1
Phoenx 2,1
Mqs Huntley 4,1
Canada,1
HM Brig Kangaroo,1
E St Vincent,1
Mq Huntly 3,1
Rl Admiral 2,1
Hercules ,1
Sir God. Webster 2,1
Caroline,1
Gen. Hewit,1
Kains,1
Camden 1,1
P Regent,1
Barwell,1
Richmond,1
Guilford 6,1
Brig Experiment,1
Roy. Admiral 3,1
Prince Regent 2,1
Camden 2,1
E. St Vincent (1),1
E. St Vincent 3,1
Mqs Huntly 3,1
Marq Wellington,1
Asia 10,1
Jn Barry 2,1
Brutus ,1
City of Edinburgh (1),1
Boyd,1
E. St Vincent,1
Forth 2,1
B. Mercht 2,1
Dunvegan Castle 1,1
Ld Melville,1
Marqs Huntley (2),1
Isabella (2),1
Fras & Eliza,1
Sir G. Webster (2),1
Brothers,1
Ld Meville 2,1
Cs Harcourt 3,1
Fanny 2,1
Hillsbro,1
(Came Free 1809),1
Norfolk (2),1
Java,1
Providence,1
Andromeda 3,1
Prince of Orange,1
P. Regent 1,1
Caudry,1
Celia 1,1
Cs of Harcourt 5,1
Anne Brig in 1827 ,1
Norfolk 1,1
Adml Gambier 1,1
General Hewitt,1
Ar. De Charles,1
Broxbornebury,1
Australia ,1
Frederick from India,1
Gov. Ready (2),1
Mqs Hastings (3),1
City Edinbro,1
57th Regt,1
Henry Porcher 1,1
Mqs Huntey 2,1
Frederick Maria,1
Moffatt,1
Louisa,1
Case Forbes 1,1
Surry 7,1
Medway (came free),1
El St Vincent 3,1
Hive,1
Grenada,1
R. Charlotte,1
Toward Castle ,1
Norfolk 3,1
Pfs Royal,1
Brothers 2,1
Hayston,1
Mariner (2),1
Castles Forbes 2,1
Castleforbes,1
Morley 1,1
Parmelia 1,1
Surrey 4,1
Maria,1
Css of Harcourt,1
Bush Mercht 1,1
